,id,total-units,prereqs,semester,hass_attribute,gir_attribute,sections
20.205,20.205,12,GIR:BIOL,['Spring'],,,{'LectureSession': ['F10-1 VIRTUAL']}
20.213,20.213,9,"5.07, 7.05, or permission of instructor",['Spring'],,,{'LectureSession': ['MW9-11 VIRTUAL']}
20.230,20.230,12,7.06,['Spring'],,,"{'LectureSession': ['MW9.30-11 VIRTUAL'], 'RecitationSession': ['W EVE (7 PM) VIRTUAL']}"
20.260,20.260,6,6.0001 and 6.0002,['Spring'],,,{'LectureSession': ['R1-3 VIRTUAL']}
20.301,20.301,6,GIR:CAL2 and 6.0001; [6.402],['Spring'],,,{'LectureSession': ['MWF11 VIRTUAL']}
20.309,20.309,12,"(GIR:BIOL, GIR:PHY2, 6.0002, and 18.03) or permission of instructor","['Fall', 'Spring']",,,"{'LabSession': ['*TO BE ARRANGED null'], 'LectureSession': ['TRF12 VIRTUAL']}"
20.310,20.310,12,"GIR:BIOL, (2.370 or 20.110), and (3.016B or 18.03)",['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
20.330,20.330,12,"GIR:BIOL, GIR:PHY2, and 18.03",['Spring'],,,"{'RecitationSession': ['T4 VIRTUAL'], 'LectureSession': ['MWF11 VIRTUAL']}"
20.365,20.365,9,(5.60 or 20.110) and permission of instructor,['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
20.380,20.380,12,"7.06, 20.320, and 20.330","['Fall', 'Spring']",,,"{'RecitationSession': ['TR9 VIRTUAL'], 'LectureSession': ['TR10-12 VIRTUAL']}"
20.381,20.381,12,20.380 or permission of instructor,['Spring'],,,{'LabSession': ['MTWRF EVE (7-10 PM) 26-033']}
20.390,20.390,12,(7.05 and (6.0002 or 6.01)) or permission of instructor,['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
20.902,20.902,0,Permission of instructor,"['Fall', 'Spring']",,,
20.903,20.903,0,Permission of instructor,"['Fall', 'Summer', 'Spring']",,,
20.920,20.920,1,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
20.BME,20.BME,0,,"['Fall', 'Spring']",,,
20.EPE,20.EPE,1,2.EPW or permission of instructor,"['Fall', 'Spring']",,,
20.S900,20.S900,0,Permission of instructor,"['Fall', 'Spring']",,,
20.S901,20.S901,0,,"['Fall', 'Spring']",,,{'LectureSession': ['M3 VIRTUAL']}
20.S940,20.S940,0,Permission of instructor,"['Fall', 'Spring']",,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
20.THU,20.THU,0,,"['Fall', 'IAP', 'Spring']",,,
20.UR,20.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
20.URG,20.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21.THT,21.THT,0,As specified for particular field,"['Fall', 'IAP', 'Spring']",,,
21.THU,21.THU,0,21.THT,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21.UR,21.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21.URG,21.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21A.01,21A.01,12,,['Spring'],HS,,{'LectureSession': ['TR10-11.30 VIRTUAL']}
21A.130,21A.130,12,,['Spring'],HS,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
21A.137,21A.137,12,,['Spring'],HS,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
21A.151,21A.151,12,,['Spring'],HS,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
21A.157,21A.157,12,,['Spring'],HS,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
21A.407,21A.407,12,,['Spring'],HS,,{'LectureSession': ['F1-4 VIRTUAL']}
21A.500,21A.500,9,,"['Fall', 'Spring']",HS,,{'LectureSession': ['F11-1 VIRTUAL']}
21A.505,21A.505,12,,['Spring'],HS,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
21A.511,21A.511,12,,['Spring'],HS,,{'LectureSession': ['TR11.30-1 VIRTUAL']}
21A.901,21A.901,0,Two subjects in Anthropology,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21A.902,21A.902,0,Two subjects in Anthropology,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21A.THT,21A.THT,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21A.THU,21A.THU,0,21A.THT,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21A.UR,21A.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21A.URG,21A.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21G.028,21G.028,12,,['Spring'],HS,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
21G.036,21G.036,12,,['Spring'],HH,,{'LectureSession': ['MW EVE (7-8.30 PM) VIRTUAL']}
21G.038,21G.038,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW3.30-5 VIRTUAL']}
21G.040,21G.040,12,,['Spring'],HH,,{'LectureSession': ['W EVE (7-10 PM) VIRTUAL']}
21G.054,21G.054,12,,['Spring'],HH,,{'LectureSession': ['MW9-10.30 VIRTUAL']}
21G.057,21G.057,12,,['Spring'],HS,,{'LectureSession': ['F1-4 VIRTUAL']}
21G.077,21G.077,12,,['Spring'],HH,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
21G.084,21G.084,12,,['Spring'],HS,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
21G.086,21G.086,12,,['Spring'],HS,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
21G.094,21G.094,12,,['Spring'],HA,,{'LectureSession': ['TR2-3.30 VIRTUAL']}
21G.102,21G.102,12,21G.101 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MTRF1 VIRTUAL']}
21G.104,21G.104,12,21G.103 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MTRF2 VIRTUAL']}
21G.106,21G.106,12,21G.105 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MWF11 VIRTUAL']}
21G.108,21G.108,12,21G.107 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MWF3 VIRTUAL']}
21G.110,21G.110,12,21G.109 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MWF11 VIRTUAL']}
21G.120,21G.120,12,"21G.106, 21G.113, or permission of instructor",['Spring'],HH,,{'LectureSession': ['MWF2 VIRTUAL']}
21G.190,21G.190,13,"21G.105, 21G.110, or permission of instructor",['Spring'],HH,,{'LectureSession': ['MW EVE (7-8.30 PM) VIRTUAL']}
21G.194,21G.194,13,"21G.105, 21G.110, or permission of instructor",['Spring'],HH,,{'LectureSession': ['MW3.30-5 VIRTUAL']}
21G.220,21G.220,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['TR8-9.30 VIRTUAL']}
21G.222,21G.222,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW7.30-9 VIRTUAL']}
21G.223,21G.223,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
21G.226,21G.226,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['TR9-10.30 VIRTUAL']}
21G.228,21G.228,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW12.30-2 VIRTUAL']}
21G.233,21G.233,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['TR11.30-1 VIRTUAL']}
21G.240,21G.240,12,21G.222 or other CI-H/CI-HW subject,['Spring'],HA,,{'LectureSession': ['TR9-10.30 VIRTUAL']}
21G.301,21G.301,12,,"['Fall', 'IAP', 'Spring']",HH,,{'LectureSession': ['MWF3 VIRTUAL']}
21G.302,21G.302,12,21G.301 or permission of instructor,"['Fall', 'Spring']",HH,,{'LectureSession': ['MWF11 VIRTUAL']}
21G.303,21G.303,12,21G.302 or permission of instructor,"['Fall', 'Spring']",HH,,{'LectureSession': ['MWF11 VIRTUAL']}
21G.304,21G.304,12,21G.303 or permission of instructor,"['Fall', 'Spring']",HH,,{'LectureSession': ['MWF3 VIRTUAL']}
21G.306,21G.306,3,"[21G.308, 21G.310, 21G.311, 21G.312, 21G.315, 21G.320, 21G.321, or 21G.322]; permission of instructor","['Fall', 'Spring']",,,
21G.307,21G.307,3,"[21G.308, 21G.310, 21G.311, 21G.312, 21G.315, 21G.320, 21G.321, or 21G.322]; permission of instructor","['Fall', 'Spring']",,,
21G.310,21G.310,12,21G.304 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MWF2 VIRTUAL']}
21G.315,21G.315,12,21G.304 or permission of instructor,['Spring'],HH,,{'LectureSession': ['TR12.30-2 VIRTUAL']}
21G.321,21G.321,12,One intermediate subject in French,['Spring'],HH,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
21G.328,21G.328,13,21G.304 or permission of instructor,['Spring'],HS,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
21G.342,21G.342,12,21G.304 or permission of instructor,['Spring'],HH,,{'LectureSession': ['TR2-3.30 VIRTUAL']}
21G.401,21G.401,12,,"['Fall', 'IAP', 'Spring']",HH,,{'LectureSession': ['MTRF1 VIRTUAL']}
21G.402,21G.402,12,21G.401 or permission of instructor,"['Fall', 'Spring']",HH,,{'LectureSession': ['MTRF1 VIRTUAL']}
21G.403,21G.403,12,21G.402 or permission of instructor,"['Fall', 'Spring']",HH,,{'LectureSession': ['MTRF12 VIRTUAL']}
21G.404,21G.404,12,21G.403 or permission of instructor,"['Fall', 'Spring']",HH,,{'LectureSession': ['MTRF12 VIRTUAL']}
21G.406,21G.406,3,"[21G.409, 21G.410, 21G.412, 21G.414, 21G.416, 21G.417, 21G.418, or 21G.420]; permission of instructor","['Fall', 'Spring']",,,
21G.407,21G.407,3,"[21G.409, 21G.410, 21G.412, 21G.414, 21G.416, 21G.417, 21G.418, or 21G.420]; permission of instructor","['Fall', 'Spring']",,,
21G.410,21G.410,12,21G.404,['Spring'],HH,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
21G.420,21G.420,12,21G.404 or permission of instructor,['Spring'],HA,,{'LectureSession': ['M EVE (7-9 PM) VIRTUAL']}
21G.502,21G.502,12,21G.501 or (placement test and permission of instructor),['Spring'],HH,,{'LectureSession': ['MTRF9 VIRTUAL']}
21G.504,21G.504,12,21G.503 or (placement test and permission of instructor),['Spring'],HH,,{'LectureSession': ['MTRF1 VIRTUAL']}
21G.506,21G.506,12,21G.505 or (placement test and permission of instructor),['Spring'],HH,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
21G.594,21G.594,13,21G.504 or permission of instructor,['Spring'],HA,,{'LectureSession': ['TR2-3.30 VIRTUAL']}
21G.612,21G.612,12,21G.611 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MTRF2 VIRTUAL']}
21G.614,21G.614,12,21G.613 and permission of instructor,['Spring'],HH,,{'LectureSession': ['MTRF4 VIRTUAL']}
21G.618,21G.618,13,21G.614 or permission of instructor,['Spring'],HH,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
21G.701,21G.701,12,,"['Fall', 'IAP', 'Spring']",HH,,{'LectureSession': ['MTWR12 VIRTUAL']}
21G.702,21G.702,12,21G.701 or permission of instructor,"['Fall', 'Spring']",HH,,{'LectureSession': ['MTWR11 VIRTUAL']}
21G.703,21G.703,12,21G.702 or permission of instructor,"['Fall', 'Spring']",HH,,{'LectureSession': ['MTWR12 VIRTUAL']}
21G.704,21G.704,12,21G.703 or permission of instructor,"['Fall', 'Spring']",HH,,{'LectureSession': ['MTWR12 VIRTUAL']}
21G.708,21G.708,3,"[21G.731, 21G.735, 21L.636, 21L.637, 21L.638, 21L.639, or 21L.640]; permission of instructor","['Fall', 'Spring']",,,
21G.709,21G.709,3,"21G.708; [21G.731, 21G.735, 21L.636, 21L.637, 21L.638, 21L.639, or 21L.640]; permission of instructor","['Fall', 'Spring']",,,
21G.711,21G.711,12,21G.704 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MW3-4.30 VIRTUAL']}
21G.713,21G.713,12,21G.704 or permission of instructor,['Spring'],HH,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
21G.714,21G.714,12,Fluency in a Spanish dialect or permission of instructor,['Spring'],HH,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
21G.736,21G.736,12,One intermediate subject in Spanish or permission of instructor,['Spring'],HH,,{'LectureSession': ['R EVE (7-10 PM) VIRTUAL']}
21G.740,21G.740,12,One intermediate subject in Spanish or permission of instructor,['Spring'],HH,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
21G.784,21G.784,13,21G.704 or permission of instructor,['Spring'],HS,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
21G.802,21G.802,12,21G.801 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MTRF12 VIRTUAL']}
21G.804,21G.804,12,21G.803 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MTRF1 VIRTUAL']}
21G.902,21G.902,12,21G.901 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MTRF12 VIRTUAL']}
21G.904,21G.904,12,21G.903 or permission of instructor,['Spring'],HH,,{'LectureSession': ['MTRF4 VIRTUAL']}
21G.911,21G.911,0,,"['Fall', 'IAP', 'Spring']",,,
21G.S04,21G.S04,0,,['Spring'],,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
21G.S05,21G.S05,0,,['Spring'],,,{'LectureSession': ['MTWR2 VIRTUAL']}
21G.S06,21G.S06,0,,['Spring'],,,{'LectureSession': ['MTRF3 VIRTUAL']}
21G.THT,21G.THT,6,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
21G.THU,21G.THU,0,21G.THT,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21G.UR,21G.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21G.URG,21G.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21H.102,21H.102,12,,['Spring'],HH,,{'LectureSession': ['TR1.30-3 VIRTUAL']}
21H.106,21H.106,12,,['Spring'],"HA,HH",,{'LectureSession': ['T2-5 VIRTUAL']}
21H.108,21H.108,12,,['Spring'],HH,,"{'RecitationSession': ['*TO BE ARRANGED null'], 'LectureSession': ['T EVE (7-9 PM) VIRTUAL']}"
21H.132,21H.132,12,,['Spring'],HH,,"{'LectureSession': ['MW12 VIRTUAL'], 'RecitationSession': ['R12 VIRTUAL']}"
21H.134,21H.134,12,,['Spring'],HS,,"{'LectureSession': ['M9.30-11 VIRTUAL'], 'RecitationSession': ['W9.30-11 VIRTUAL']}"
21H.152,21H.152,12,,['Spring'],HH,,{'LectureSession': ['MW3.30-5 VIRTUAL']}
21H.154,21H.154,12,,['Spring'],HH,,{'LectureSession': ['TR12-1.30 VIRTUAL']}
21H.161,21H.161,12,,['Spring'],HH,,"{'RecitationSession': ['R1 VIRTUAL'], 'LectureSession': ['MW2 VIRTUAL']}"
21H.165,21H.165,12,,['Spring'],HH,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
21H.170,21H.170,12,,['Spring'],HS,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
21H.185,21H.185,12,,['Spring'],HS,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
21H.186,21H.186,12,,['Spring'],HH,,{'LectureSession': ['T EVE (7-10 PM) VIRTUAL']}
21H.187,21H.187,12,,['Spring'],HH,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
21H.205,21H.205,12,Permission of instructor,['Spring'],HH,,{'LectureSession': ['W EVE (7-10 PM) VIRTUAL']}
21H.227,21H.227,12,,['Spring'],HS,,{'LectureSession': ['MW2.30-4 VIRTUAL']}
21H.228,21H.228,12,,['Spring'],HH,,{'LectureSession': ['R EVE (7-10 PM) VIRTUAL']}
21H.240,21H.240,12,,['Spring'],HH,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
21H.241,21H.241,12,,['Spring'],HH,,{'LectureSession': ['MW9-10.30 VIRTUAL']}
21H.245,21H.245,12,,['Spring'],HS,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
21H.263,21H.263,12,,['Spring'],HH,,"{'RecitationSession': ['*TO BE ARRANGED null'], 'LectureSession': ['W2-4 VIRTUAL']}"
21H.266,21H.266,12,,['Spring'],HH,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
21H.319,21H.319,12,,"['Fall', 'Spring']",HS,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
21H.330,21H.330,12,,['Spring'],HH,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
21H.336,21H.336,12,,['Spring'],HH,,{'LectureSession': ['TR3.30-5 VIRTUAL']}
21H.343,21H.343,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
21H.358,21H.358,12,,['Spring'],HH,,{'LectureSession': ['W11-1 VIRTUAL']}
21H.388,21H.388,12,,['Spring'],HH,,{'LectureSession': ['W EVE (7-10 PM) VIRTUAL']}
21H.392,21H.392,0,Permission of instructor,['Spring'],,,
21H.S01,21H.S01,12,Permission of instructor,['Spring'],,,"{'LectureSession': ['M3-5 VIRTUAL'], 'RecitationSession': ['W4 VIRTUAL']}"
21H.THT,21H.THT,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21H.THU,21H.THU,0,21H.THT,"['Fall', 'IAP', 'Spring']",,,
21H.UR,21H.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21H.URG,21H.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21L.000,21L.000,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
21L.001,21L.001,12,,['Spring'],HH,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
21L.004,21L.004,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW EVE (7-8.30 PM) VIRTUAL']}
21L.006,21L.006,12,,['Spring'],HH,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
21L.007,21L.007,12,,['Spring'],HH,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
21L.008,21L.008,12,,['Spring'],"HA,HH",,{'LectureSession': ['T2-5 VIRTUAL']}
21L.011,21L.011,12,,"['Fall', 'Spring']",HA,,"{'RecitationSession': ['R3 VIRTUAL'], 'LectureSession': ['T3.30-5 VIRTUAL'], 'LabSession': ['M EVE (7-10 PM) VIRTUAL']}"
21L.019,21L.019,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW3.30-5 VIRTUAL']}
21L.021,21L.021,12,,['Spring'],HH,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
21L.310,21L.310,6,,"['Fall', 'Spring']",,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
21L.320,21L.320,6,,['Spring'],,,{'LectureSession': ['TR3-4.30 VIRTUAL']}
21L.355,21L.355,6,,['Spring'],,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
21L.431,21L.431,12,,['Spring'],HH,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
21L.433,21L.433,12,21L.011 or permission of instructor,['Spring'],HH,,{'LectureSession': ['TR EVE (7-8.30 PM) VIRTUAL']}
21L.434,21L.434,12,,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
21L.455,21L.455,12,,['Spring'],HH,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
21L.457,21L.457,12,,['Spring'],HH,,{'LectureSession': ['TR9.30-11 VIRTUAL']}
21L.480,21L.480,12,,['Spring'],HH,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
21L.486,21L.486,12,One subject in Literature,['Spring'],HA,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
21L.487,21L.487,12,One subject in Literature,['Spring'],HH,,{'LectureSession': ['M EVE (7-10 PM) VIRTUAL']}
21L.490,21L.490,12,,['Spring'],HH,,{'LectureSession': ['TR2.30-4 VIRTUAL']}
21L.512,21L.512,12,One subject in Literature and permission of instructor,['Spring'],HH,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
21L.609,21L.609,6,21L.608 or permission of instructor,['Spring'],,,{'LectureSession': ['TR4 VIRTUAL']}
21L.610,21L.610,6,21L.609 or (placement exam and permission of instructor),['Spring'],,,{'LectureSession': ['TR4 VIRTUAL']}
21L.611,21L.611,6,,['Spring'],,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
21L.612,21L.612,6,21L.611 or permission of instructor,['Spring'],,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
21L.640,21L.640,12,One intermediate subject in Spanish or permission of instructor,['Spring'],HH,,{'LectureSession': ['TR1-2.30 VIRTUAL']}
21L.702,21L.702,12,Two subjects in Literature,"['Fall', 'Spring']",HH,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
21L.705,21L.705,12,Two subjects in Literature,"['Fall', 'Spring']",HH,,{'LectureSession': ['MW1-2.30 VIRTUAL']}
21L.706,21L.706,12,(21L.011 and one subject in Literature or Comparative Media Studies) or permission of instructor,"['Fall', 'Spring']",HH,,"{'LectureSession': ['MW9.30-11 VIRTUAL'], 'LabSession': ['*TO BE ARRANGED null']}"
21L.707,21L.707,12,Two subjects in Literature or permission of instructor,['Spring'],HH,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
21L.900,21L.900,0,Permission of instructor,['Spring'],,,
21L.901,21L.901,0,Permission of instructor,['Spring'],,,
21L.THU,21L.THU,0,21L.THT,"['Fall', 'Spring']",,,
21L.UR,21L.UR,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21L.URG,21L.URG,0,,"['Fall', 'IAP', 'Summer', 'Spring']",,,
21M.011,21M.011,12,,"['Fall', 'Spring']",HA,,"{'RecitationSession': ['MF12.30 VIRTUAL'], 'LectureSession': ['W3.30-5 VIRTUAL']}"
21M.030,21M.030,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['MW9.30-11 VIRTUAL']}
21M.051,21M.051,12,,"['Fall', 'Spring']",HA,,"{'LabSession': ['F3 VIRTUAL'], 'LectureSession': ['TR3.30-5 VIRTUAL']}"
21M.065,21M.065,12,Permission of instructor,"['Fall', 'Spring']",HA,,{'LectureSession': ['TR12.30-2 VIRTUAL']}
21M.080,21M.080,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['MW2-3.30 VIRTUAL']}
21M.128,21M.128,6,Permission of instructor,['Spring'],,,{'LectureSession': ['MW3.30-5 VIRTUAL']}
21M.129,21M.129,6,Permission of instructor,['Spring'],,,{'LectureSession': ['MW3.30-5 VIRTUAL']}
21M.158,21M.158,6,Permission of instructor,['Spring'],,,{'LectureSession': ['MW12.30-2 VIRTUAL']}
21M.215,21M.215,12,Permission of instructor,['Spring'],HA,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
21M.226,21M.226,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
21M.235,21M.235,12,21M.301 or permission of instructor,['Spring'],HA,,{'LectureSession': ['TR2-3.30 VIRTUAL']}
21M.250,21M.250,12,21M.301 or permission of instructor,['Spring'],HA,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
21M.273,21M.273,12,,['Spring'],HA,,{'LectureSession': ['MW12.30-2 VIRTUAL']}
21M.293,21M.293,12,,['Spring'],HA,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
21M.295,21M.295,12,,['Spring'],HA,,{'LectureSession': ['TR12.30-2 VIRTUAL']}
21M.299,21M.299,12,21M.030 or permission of instructor,['Spring'],HA,,{'LectureSession': ['TR12.30-2 VIRTUAL']}
21M.301,21M.301,12,,"['Fall', 'Spring']",HA,,"{'LectureSession': ['MW11-12.30 VIRTUAL'], 'LabSession': ['F4 VIRTUAL']}"
21M.302,21M.302,12,21M.301 or permission of instructor,"['Fall', 'Spring']",HA,,"{'LectureSession': ['TR9.30-11 VIRTUAL'], 'LabSession': ['F4 VIRTUAL']}"
21M.303,21M.303,12,21M.302,"['Fall', 'Spring']",HA,,"{'LabSession': ['R4 VIRTUAL'], 'LectureSession': ['MW3.30-5 VIRTUAL']}"
21M.304,21M.304,12,21M.303,['Spring'],HA,,"{'LabSession': ['F4 VIRTUAL'], 'LectureSession': ['TR12.30-2 VIRTUAL']}"
21M.340,21M.340,12,"21M.051, 21M.226, or permission of instructor","['Fall', 'Spring']",HA,,{'LectureSession': ['TR2-3.30 VIRTUAL']}
21M.351,21M.351,12,"21M.304, 21M.310, or permission of instructor",['Spring'],HA,,{'LectureSession': ['MW2-3.30 VIRTUAL']}
21M.359,21M.359,12,21M.051 or permission of instructor,['Spring'],HA,,{'LectureSession': ['TR3.30-5 VIRTUAL']}
21M.361,21M.361,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['TR2-3.30 VIRTUAL']}
21M.362,21M.362,12,21M.361 or permission of instructor,['Spring'],HA,,"{'LectureSession': ['M EVE (7-8.30 PM) VIRTUAL'], 'LabSession': ['W EVE (7.30-9 PM) VIRTUAL']}"
21M.370,21M.370,12,,['Spring'],HA,,{'LectureSession': ['MW12.30-2 VIRTUAL']}
21M.385,21M.385,12,(6.009 and 21M.301) or permission of instructor,"['Fall', 'Spring']",HA,,{'LectureSession': ['MW11-12.30 VIRTUAL']}
21M.387,21M.387,12,"6.003, 6.01, and 21M.051",['Spring'],HA,,{'LectureSession': ['TR11-12.30 VIRTUAL']}
21M.401,21M.401,6,,"['Fall', 'Spring']",,,"{'LabSession': ['MTWRF2-5 4-260'], 'LectureSession': ['MW EVE (7-9 PM) 4-158']}"
21M.410,21M.410,6,[Participation in ensemble for vocalists],['Spring'],,,{'LectureSession': ['TR3.30-5 VIRTUAL']}
21M.421,21M.421,6,,"['Fall', 'Spring']",,,"{'LabSession': ['MTWRF9-12 4-260'], 'LectureSession': ['TR EVE (7.30-10 PM) KRESGE']}"
21M.426,21M.426,6,,"['Fall', 'Spring']",,,"{'LabSession': ['MTWRF EVE (7-10 PM) 4-260'], 'LectureSession': ['W EVE (7-9.30 PM) KRESGE']}"
21M.442,21M.442,6,,"['Fall', 'Spring']",,,"{'LabSession': ['MTWRF2-5 4-260'], 'LectureSession': ['R EVE (5-7.30 PM) 4-364']}"
21M.445,21M.445,6,,"['Fall', 'Spring']",,,"{'RecitationSession': ['null null'], 'LectureSession': ['M EVE (3-8 PM) 24-033F']}"
21M.451,21M.451,0,,"['Fall', 'Spring']",,,{'LabSession': ['MTWRF7-11 4-260']}
21M.460,21M.460,6,,"['Fall', 'Spring']",,,{'LectureSession': ['MR EVE (5-7 PM) KRESGE']}
21M.470,21M.470,6,,"['Fall', 'Spring']",,,{'LectureSession': ['TR3.30-5 VIRTUAL']}
21M.480,21M.480,9,,"['Fall', 'Spring']",HA,,"{'LabSession': ['MTWRF2-5 4-260'], 'LectureSession': ['W EVE (5-7 PM) 14W-111']}"
21M.490,21M.490,6,Permission of instructor,['Spring'],,,"{'LabSession': ['F2-5,F EVE (5-8 PM) 14W-111']}"
21M.500,21M.500,12,Permission of instructor,['Spring'],HA,,{'LectureSession': ['F2-5 VIRTUAL']}
21M.531,21M.531,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
21M.533,21M.533,0,Permission of instructor,"['Fall', 'IAP', 'Spring']",,,
21M.600,21M.600,9,,"['Fall', 'Spring']",HA,,"{'RecitationSession': ['MTWRF9-12 W97-269'], 'LectureSession': ['TR1-3 VIRTUAL']}"
21M.601,21M.601,9,,"['Fall', 'Spring']",HA,,{'LectureSession': ['T EVE (7-10 PM) VIRTUAL']}
21M.605,21M.605,9,,"['Fall', 'Spring']",HA,,"{'LectureSession': ['TR11-1 VIRTUAL'], 'RecitationSession': ['MTWRF2-5 W97-269']}"
21M.606,21M.606,12,,"['Fall', 'Spring']",HA,,{'LectureSession': ['TR11-1 W97-105']}
21M.607,21M.607,12,,['Spring'],HA,,{'LectureSession': ['T EVE (7-10 PM) VIRTUAL']}
